"Sec/
S.No.",TYPE 1 GNSZ,TYPE 2 FNSZ,TYPE 3 ABSZ,TYPE 4 CPSZ,TYPE 5 TCSZ,TYPE 6 TNSZ
,IMF5,IMF5,IMF5,IMF5,IMF5,IMF5
1,0.15785092540705634,1.1848325208384376,1.7142851655421765,-4.158158070319282,3.6228054543927706,-0.31854476095075873
2,0.3390001379810188,0.9788806458638788,3.355467269611664,-3.849287048172745,3.623573852542036,-0.36163490981942376
3,0.5352992182773527,0.5844184499340112,4.403849925224078,-3.3112954936277954,3.5765654949312653,-0.3199169976706912
4,0.6892995544858838,0.28744023978206507,4.288600925547369,-1.9960507026555692,3.4418076695038993,-0.2786109960207865
5,0.7847879339018794,0.11010548767425514,2.953695902552213,0.06860767369342848,3.2024716563762925,-0.184367310786052
6,0.969821153937728,0.04937703373909828,-2.4816555319778426,2.746238792413056,2.9214580477984424,-0.04107514342053729
7,1.1995148632327284,-0.0011931524705614351,0.46922458041634413,5.484093837121248,2.6654654039560373,0.08364273424201707
8,1.423242647521431,-0.14932104193075124,2.8157289821301803,7.50953568374393,2.392383905439871,0.19720071118051322
9,1.6587679645617994,-0.30757771212739476,2.7107919430004843,8.476131227756076,2.034702571104357,0.20605678690531304
10,1.5238910483781458,-0.46009916295507125,0.6977471084005991,8.09550621137592,1.6550618584093764,0.14510361239271016
11,1.2094487439889934,-0.5632741376183945,-0.32345306117218997,6.463097736242113,1.1494238596033903,0.10193682901263523
12,0.8824925481232165,-0.5198398027572699,2.235058927879738,4.010828899155458,0.5252484400521812,-0.013505877940846707
13,0.5532809415843271,-0.47780609987571293,3.2702059253187827,1.4870001079562256,-0.1855798791234441,-0.16004303789887192
14,0.2565741121904442,-0.42524554190561487,1.551071721022302,-0.8130289352163158,-0.8668088612575865,-0.2995944831761938
15,-0.1389510453799851,-0.3492870581294729,-0.927789262425156,-2.7482625508305207,-1.5426790667153438,-0.41115277833258945
16,-0.5978907397668864,-0.2240263286725431,0.7977059596800187,-3.883131730337592,-2.124316444972081,-0.40832927555283294
17,-0.9994769637367722,-0.01200013395501637,1.288729123198054,-4.370979232550194,-2.6798803131118274,-0.26599264475145973
18,-1.3871221753326544,0.2476328045732948,4.0084000665459305,-4.331364409943845,-3.2062890743901358,0.0020317692474987213
19,-1.6154167464929694,0.4937017281415808,1.0834381385151048,-3.9325302600996204,-3.8278751522612695,0.3917062856241363
20,-1.6945240166280708,0.6953485027157837,0.13868871092874954,-3.5525588525482354,-4.318733492914984,0.831756019110337
21,-1.718359733890568,0.8150509347380074,-0.14008980868689813,-3.389054518975756,-4.6496929811950665,1.3145965479050081
22,-1.7411321061707046,0.8655179164860147,0.47254337231653387,-3.4244719473848355,-4.739711624796211,1.7735797953664028
23,-1.7346401052257647,0.9182259094013308,0.9355938612472827,-3.312286119508902,-4.809767924811239,2.0871131350003993
24,-1.7227754138436344,0.9786594934460523,-0.670622399588101,-2.8615002804152585,-4.902163800186674,2.140776451615141
25,-1.6967850238537223,1.069420445722048,-1.775029423229851,-1.9663932020500428,-4.910600171533813,1.8252051129433389
26,-1.6847972083157392,1.193973487441933,-0.8710932341303061,-0.707174942869111,-4.695336631676152,1.1253979133765166
