S.No,TYPE 1 GNSZ,TYPE 2 FNSZ,TYPE 3 ABSZ,TYPE 4 CPSZ,TYPE 5 TCSZ,TYPE 6 TNSZ
,IMF5,IMF5,IMF5,IMF5,IMF5,IMF5
1,-1.0488116729646966,-1.2850759908386415,1.2168422920127742,4.077134426084426,0.7914903800538343,-0.5758174764741055
2,-1.1359825529707734,-1.283334566780535,1.8219327314145366,4.114445274071999,0.810482556696235,-0.6134306691007921
3,-1.2771414524779285,-1.2886508202715248,1.839994152323631,4.133241246212397,0.8224788658949997,-0.5714326592435712
4,-1.3925497874409831,-1.2997130177521494,1.5459636024798942,4.214709198573674,0.8079585807509504,-0.6156976263861303
5,-1.480093599668714,-1.308397475979156,1.0249221025605557,4.40987123166855,0.762972421255583,-0.5674646368502514
6,-1.6435534406696692,-1.3060072948083072,0.061202213076556336,4.665587652908666,0.68953659878166,-0.5473500502347548
7,-1.7348873792805146,-1.2951450567117468,-0.13301670267318427,4.783910452604058,0.5887586933616417,-0.49487795223257103
8,-1.7170352759743805,-1.2711006073092932,0.2743175972475511,4.533522367766655,0.45368737830386785,-0.44276504327709243
9,-1.7535441243909784,-1.2198567937780385,0.24723015716206756,3.8540314214428557,0.2840969804649951,-0.4351780218094211
10,-1.8351048066278253,-1.140274736337189,0.39324149855808016,2.804817643930647,0.03860320249275051,-0.4250563455593389
11,-1.9235140648264597,-1.0768471753578024,0.5276935305722721,1.5759208692038904,-0.25863802112475925,-0.37934106792630934
12,-1.8322206623266637,-1.0066107751739322,0.7404805252721922,0.3903129236339846,-0.6017265254424983,-0.4137791649231576
13,-1.7710881532531375,-0.901491682617136,0.7457441393656997,-0.6497058817975775,-0.9496402778909286,-0.40230544688406206
14,-1.860585806033447,-0.757636902533588,0.5679916099512637,-1.5692842954581092,-1.2612414399453755,-0.49202138273849017
15,-1.8177715655431228,-0.5891582351879867,0.6134688604169157,-2.3555231207806697,-1.5047160371613924,-0.5558452100469263
16,-1.6499865214932017,-0.4068863695296291,0.8029120550016018,-2.989751317310739,-1.7251155554705777,-0.6914932923927724
17,-1.37869049107321,-0.24702506292882612,1.2250801764585846,-3.4290860838705712,-1.9264070911822253,-0.8092361396179504
18,-1.0830606331902932,-0.07792607713843874,1.4408320589544916,-3.7019931050875488,-2.0941089611373322,-1.0027848185775072
