"Sec/
S.No.",TYPE 1 GNSZ,TYPE 2 FNSZ,TYPE 3 ABSZ,TYPE 4 CPSZ,TYPE 5 TCSZ,TYPE 6 TNSZ
,IMF5,IMF5,IMF5,IMF5,IMF5,IMF5
1,7.745779972032465,1.5319927541633696,4.844811974011457,-6.030595673071332,7.062211605339096,0.19201944341652522
2,7.563792041322361,1.2399172107753251,4.628820479168753,-5.721458062504839,7.052226826431008,0.14714524507024304
3,7.318921482041475,0.6878329723126536,4.288938194433744,-5.137925521633099,7.006882099920209,0.19335470737459415
4,7.006547562050847,0.2383849170975804,6.187691558970858,-3.3118988474488043,6.707279701045531,0.16452116906607478
5,6.550010188614754,-0.02224730002758496,6.75116075441286,-0.2076994746364169,6.248519589052329,0.21720287151652432
6,6.067217114711808,-0.10274845048106042,-0.4187106184047827,3.9884971471432684,5.646633068589483,0.2922983497522012
7,5.522738961398792,-0.16643677421465342,1.645834075196509,8.36119840635602,4.8718260316483155,0.298875545143912
8,4.874407311295095,-0.3518009723819362,3.4553538785200764,11.665808533076133,4.053107893546329,0.3761867452314062
9,4.240355870051166,-0.566604318792509,3.275126229237029,13.318745729323739,3.2001176764895565,0.44932305888231816
10,3.7397407791574904,-0.7777110701891744,2.964015983405144,12.828801693881623,2.2449774367016504,0.5364125893527016
11,3.234245110552249,-0.9214997087723252,3.19293477544733,10.286658762800283,1.3613498026068018,0.779238211770961
12,2.726201825572104,-0.8638016504528359,3.875817992490768,6.374018893436326,0.35630253445904697,0.9945247439099204
13,2.219576393607703,-0.8103569032638062,2.8382640651222473,2.2663701330218995,-0.858796146731478,1.2542773151066697
14,1.7461885996697557,-0.7361800478943665,2.368253695348094,-1.4942130435729752,-2.023152923623049,1.5020183415277766
15,1.2431897080882548,-0.5885612024293354,1.5558963032405764,-4.657980679139517,-3.174615505455105,1.690010678960532
16,0.908231818548042,-0.3911051302105345,3.683618760587191,-6.446095799106793,-4.246756439981866,1.7371530767814378
17,0.5568076280480887,-0.07388828699898468,2.11151857898173,-7.1471065428467755,-5.230484855866408,1.5871428765664166
18,0.2487945946238144,0.315968875100321,4.286171652231522,-6.99833365728575,-6.114306451038018,1.2286915585651563
19,-0.00016005920043081414,0.6846040188366498,1.681245815384969,-6.32860117720251,-6.864902085745131,0.8307129288968679
20,-0.13082284050394805,1.0070985308331166,2.9201537143080643,-5.690196217884137,-7.377794204335472,0.33656614001272284
21,-0.16807113845541555,1.2052671996811044,2.204725900813012,-5.438443138278441,-7.668491259859694,-0.26724721884243013
22,-0.1306533760000742,1.2945644647761074,0.3697036084616699,-5.487667408327217,-7.661129172033038,-0.8454223435332635
23,-0.05537724337931977,1.3983808861907965,1.0900608971534183,-5.22949448562977,-7.629774942319973,-1.3973586568209952
24,-0.018428332718029457,1.5089224382934385,1.1327159478349704,-4.3895951160250135,-7.583882064940066,-1.9941983226899016
25,0.07300341593869666,1.6933290847402513,0.33605239512916474,-2.9068083902628845,-7.281673841164545,-2.541691530580042
26,0.15018319981963385,1.9403328913322144,1.2417177106025867,-0.8674491808071627,-6.893599892015589,-3.451367798537661
27,0.22021158163709537,2.08343120193084,3.1898161278739106,1.0596859173132087,-6.224206483749331,-4.529736300429309
