Sec,TYPE 1 GNSZ,TYPE 2 FNSZ,TYPE 3 ABSZ,TYPE 4 CPSZ,TYPE 5 TCSZ,TYPE 6 TNSZ
,IMF5,IMF5,IMF5,IMF5,IMF5,IMF5
1,-0.4169081013787051,-1.2105603596393721,3.450183842774024,5.9823566620063655,1.771615943645495,-0.407354261141749
2,-0.5743733938640325,-1.2147883052538564,3.1673177834825967,5.890679472080263,1.7506780651345986,-0.45847360552258687
3,-0.7119736322185982,-1.2311999748106783,2.898973974771904,5.614291414015535,1.729500102319715,-0.5099679761128165
4,-0.8249915370015644,-1.2576147875454107,3.9683885958199294,5.210850379397197,1.6547370076569892,-0.5958112237471277
5,-0.9377231846250359,-1.2730784554790535,4.297657401916467,4.78593399338117,1.5743508858745596,-0.636565749803973
6,-1.088332220561079,-1.2663402086476363,0.8802344546498808,4.319658993453308,1.4800019664128665,-0.6774461235820907
7,-1.2342537955103978,-1.2519953773635712,2.0465374242693777,3.857417761324544,1.3384575271936607,-0.7331563928349448
8,-1.324589796197298,-1.231851006737707,2.685198622788824,3.198949789446625,1.1901528194148114,-0.7964552796805229
9,-1.4008017891188562,-1.1943668809323296,2.7366377056539184,2.444827975139775,0.995263332651751,-0.8562354642393257
10,-1.5162986013871682,-1.130544508349647,2.412356339150762,1.5447408818017623,0.7425430126650725,-0.8894315761565523
11,-1.643263591107733,-1.0780224744432585,2.3904996185797565,0.6473453468004952,0.43412313415332976,-0.8640808111834452
12,-1.6294854774101137,-1.014642679649175,2.707104239826429,-0.1448009759984054,0.07793911516410493,-0.8590569701502523
13,-1.7320987296042272,-0.9161315025739051,1.7686343563380313,-0.7973860723604681,-0.31853694684166295,-0.821498976213725
14,-1.9628538065079386,-0.7779135740389144,0.6208631475606178,-1.3513616097116037,-0.7132566026235232,-0.831430878376541
15,-2.014376119423087,-0.6184930713855197,1.075306908157772,-1.861765315420422,-1.1174322103782182,-0.8296589424610258
16,-1.9555681642194125,-0.44634181864307954,1.705313432088697,-2.3019671826008268,-1.5016092168113007,-0.7995561675326741
17,-1.676829230955417,-0.2915374023247706,1.2782027963219509,-2.6755012202095516,-1.8807023328073185,-0.7248051380513101
18,-1.4445812434490635,-0.1262930185512039,1.915690479642953,-2.898657822150223,-2.287615744028536,-0.618358101490286
19,-1.3366304879685402,0.028915913865884414,0.29743746922299324,-3.0850607309408615,-2.7006702590254297,-0.4782040112636695
20,-1.1060682370680994,0.16476516607629427,1.0593422118122815,-3.195343228627061,-3.000278622380304,-0.38672530267078153
21,-0.8217930108236002,0.28011775574111525,0.31562695479886316,-3.332769770865791,-3.2357044484692272,-0.3592703637980007
22,-0.5211196227133302,0.380471384150322,-0.2676345470607395,-3.3935618643336483,-3.411366130886634,-0.4205481362399446
23,-0.3978521213029042,0.4559742697297046,0.1773966437155679,-3.4027074511489537,-3.6247758050993855,-0.6086577591346114
24,-0.34996765978966676,0.5492926816113444,0.09217010242862823,-3.2275705345476613,-3.859148629855031,-0.8709495798104915
25,-0.20521695613855834,0.659911901827101,-0.3622492099352243,-2.8691720504506044,-4.027173946603507,-1.1809427207574517
